0 Time: 2.14576721 Hz: 0.000 | Pos: X: 0 | Vel: X: nan.000
1 Time: 0.01853919 Hz: 53.93 | Pos: X: 410 | Vel: X: nan.000
2 Time: 0.04610109 Hz: 43.38 | Pos: X: 377 | Vel: X: nan.000
3 Time: 0.07336926 Hz: 40.88 | Pos: X: 354 | Vel: X: nan.000
4 Time: 0.09969425 Hz: 40.12 | Pos: X: 377 | Vel: X: nan.000
5 Time: 0.12654113 Hz: 39.51 | Pos: X: 354 | Vel: X: nan.000
6 Time: 0.15259718 Hz: 39.31 | Pos: X: 363 | Vel: X: nan.000
7 Time: 0.18078899 Hz: 38.71 | Pos: X: 349 | Vel: X: nan.000
8 Time: 0.20764017 Hz: 38.52 | Pos: X: 363 | Vel: X: nan.000
9 Time: 0.23564910 Hz: 38.19 | Pos: X: 349 | Vel: X: nan.000
10 Time: 0.26392602 Hz: 37.88 | Pos: X: 349 | Vel: X: nan.000
11 Time: 0.29107904 Hz: 37.79 | Pos: X: 377 | Vel: X: nan.000
12 Time: 0.31843996 Hz: 37.68 | Pos: X: 382 | Vel: X: nan.000
13 Time: 0.34604907 Hz: 37.56 | Pos: X: 372 | Vel: X: nan.000
14 Time: 0.37455534 Hz: 37.37 | Pos: X: 368 | Vel: X: nan.000
15 Time: 0.40327715 Hz: 37.19 | Pos: X: 344 | Vel: X: nan.000
16 Time: 0.43108320 Hz: 37.11 | Pos: X: 391 | Vel: X: nan.000
17 Time: 0.45810794 Hz: 37.10 | Pos: X: 386 | Vel: X: nan.000
18 Time: 0.48576426 Hz: 37.05 | Pos: X: 372 | Vel: X: nan.000
19 Time: 0.51337122 Hz: 37.01 | Pos: X: 0 | Vel: X: nan.000
20 Time: 0.53145503 Hz: 37.63 | Pos: X: 386 | Vel: X: nan.000
21 Time: 0.56446123 Hz: 37.20 | Pos: X: 349 | Vel: X: nan.000
22 Time: 0.59121799 Hz: 37.21 | Pos: X: 363 | Vel: X: nan.000
23 Time: 0.61826729 Hz: 37.20 | Pos: X: 0 | Vel: X: nan.000
24 Time: 0.63512110 Hz: 37.78 | Pos: X: 382 | Vel: X: nan.000
25 Time: 0.66170716 Hz: 37.78 | Pos: X: 419 | Vel: X: nan.000
26 Time: 0.68940806 Hz: 37.71 | Pos: X: 377 | Vel: X: 136.190
27 Time: 0.71598601 Hz: 37.71 | Pos: X: 0 | Vel: X: 0.00000
28 Time: 0.73389816 Hz: 38.15 | Pos: X: 372 | Vel: X: -53.120
29 Time: 0.76006317 Hz: 38.15 | Pos: X: 391 | Vel: X: 19.6088
30 Time: 0.78574609 Hz: 38.18 | Pos: X: 396 | Vel: X: 58.9575
31 Time: 0.81298613 Hz: 38.13 | Pos: X: 363 | Vel: X: -19.627
32 Time: 0.83993601 Hz: 38.09 | Pos: X: 377 | Vel: X: 32.2402
33 Time: 0.86756205 Hz: 38.03 | Pos: X: 368 | Vel: X: 6.99335
34 Time: 0.89468812 Hz: 38.00 | Pos: X: 354 | Vel: X: 7.00379
35 Time: 0.92045712 Hz: 38.02 | Pos: X: 386 | Vel: X: 32.2663
36 Time: 0.94552087 Hz: 38.07 | Pos: X: 386 | Vel: X: 52.1220
37 Time: 0.97309017 Hz: 38.02 | Pos: X: 349 | Vel: X: 0.00000
38 Time: 0.99951815 Hz: 38.01 | Pos: X: 363 | Vel: X: -19.761
39 Time: 1.02534008 Hz: 38.03 | Pos: X: 363 | Vel: X: -26.877
40 Time: 1.05188822 Hz: 38.02 | Pos: X: 344 | Vel: X: -39.669
41 Time: 1.07985115 Hz: 37.96 | Pos: X: 363 | Vel: X: -7.0892
42 Time: 1.10554504 Hz: 37.99 | Pos: X: 377 | Vel: X: 46.9906
43 Time: 1.13169217 Hz: 37.99 | Pos: X: 0 | Vel: X: -558.08
44 Time: 1.15061402 Hz: 38.24 | Pos: X: 354 | Vel: X: -46.208
45 Time: 1.17788696 Hz: 38.20 | Pos: X: 368 | Vel: X: -5.7793
46 Time: 1.20494008 Hz: 38.17 | Pos: X: 358 | Vel: X: 517.663
47 Time: 1.23237299 Hz: 38.13 | Pos: X: 0 | Vel: X: -550.70
48 Time: 1.24983811 Hz: 38.40 | Pos: X: 382 | Vel: X: 48.1486
49 Time: 1.27824902 Hz: 38.33 | Pos: X: 354 | Vel: X: -13.099
50 Time: 1.30549311 Hz: 38.29 | Pos: X: 335 | Vel: X: 487.467
51 Time: 1.33338308 Hz: 38.24 | Pos: X: 335 | Vel: X: -67.309
52 Time: 1.36107230 Hz: 38.20 | Pos: X: 330 | Vel: X: -127.25
53 Time: 1.38743615 Hz: 38.19 | Pos: X: 321 | Vel: X: -80.225
54 Time: 1.41419816 Hz: 38.18 | Pos: X: 354 | Vel: X: 507.009
55 Time: 1.44453215 Hz: 38.07 | Pos: X: 344 | Vel: X: -39.401
56 Time: 1.47075819 Hz: 38.07 | Pos: X: 311 | Vel: X: -112.56
57 Time: 1.49621009 Hz: 38.09 | Pos: X: 311 | Vel: X: -119.64
58 Time: 1.52259516 Hz: 38.09 | Pos: X: 278 | Vel: X: -119.78
59 Time: 1.54824399 Hz: 38.10 | Pos: X: 321 | Vel: X: -79.061
60 Time: 1.56974601 Hz: 38.22 | Pos: X: 363 | Vel: X: -7.1206
61 Time: 1.59716892 Hz: 38.19 | Pos: X: 316 | Vel: X: -54.094
62 Time: 1.61955904 Hz: 38.28 | Pos: X: 316 | Vel: X: -100.12
63 Time: 1.63924527 Hz: 38.43 | Pos: X: 396 | Vel: X: 14.4149
64 Time: 1.66586399 Hz: 38.41 | Pos: X: 368 | Vel: X: 27.4259
65 Time: 1.69294428 Hz: 38.39 | Pos: X: 349 | Vel: X: -20.189
66 Time: 1.71992707 Hz: 38.37 | Pos: X: 457 | Vel: X: 135.332
67 Time: 1.74773311 Hz: 38.33 | Pos: X: 452 | Vel: X: 155.207
68 Time: 1.76841497 Hz: 38.45 | Pos: X: 475 | Vel: X: 162.657
69 Time: 1.79470515 Hz: 38.44 | Pos: X: 522 | Vel: X: 210.401
70 Time: 1.82165312 Hz: 38.42 | Pos: X: 579 | Vel: X: 839.177
71 Time: 1.84763407 Hz: 38.42 | Pos: X: 579 | Vel: X: 322.802
72 Time: 1.87459301 Hz: 38.40 | Pos: X: 546 | Vel: X: 255.487
73 Time: 1.90150308 Hz: 38.39 | Pos: X: 607 | Vel: X: 357.469
74 Time: 1.92943120 Hz: 38.35 | Pos: X: 635 | Vel: X: 910.971
75 Time: 1.95894002 Hz: 38.28 | Pos: X: 752 | Vel: X: 521.786
76 Time: 1.98657417 Hz: 38.25 | Pos: X: 897 | Vel: X: 766.597
77 Time: 2.01594305 Hz: 38.19 | Pos: X: 822 | Vel: X: 685.481
78 Time: 2.03578019 Hz: 38.31 | Pos: X: 845 | Vel: X: 726.084
79 Time: 2.06380605 Hz: 38.27 | Pos: X: 929 | Vel: X: 852.385
80 Time: 2.08390092 Hz: 38.38 | Pos: X: 915 | Vel: X: 852.878
81 Time: 2.11444306 Hz: 38.30 | Pos: X: 1055 | Vel: X: 1001.07
82 Time: 2.14016413 Hz: 38.31 | Pos: X: 1036 | Vel: X: 994.778
83 Time: 2.16680502 Hz: 38.30 | Pos: X: 1093 | Vel: X: 1123.48
