Index,Time,Difference,Hz,AveHz,Position-X,Position-Y,Position-Z,Velocity-X,Velocity-Y,Velocity-Z
0,0,0,0,0,12627,1009,14688,0,0,0
1,0.053119421,0.053119421,18.8255064,18.8255064,8695,3850,10607,0,0,0
2,0.107596159,0.054476738,18.35645887,18.58802414,4301,3383,9783,0,0,0
3,0.160262346,0.052666187,18.9875146,18.71930662,1441,3427,8242,0,0,0
4,0.210584641,0.050322294,19.87190797,18.99473765,-106,3450,6706,0,0,0
5,0.260927916,0.050343275,19.86362625,19.1623805,-852,3327,5569,0,0,0
6,0.311248779,0.050320864,19.87247289,19.27718404,-1147,3273,4837,-38661.91355,-2266.604767,-22666.04767
7,0.361295223,0.050046444,19.98143966,19.37473719,-1201,3063,4362,-21894.92618,-1273.423551,-21572.59084
8,0.412276745,0.050981522,19.61495005,19.40444156,-1118,2952,3975,-10150.12465,-1884.059871,-16924.8073
9,0.464782238,0.052505493,19.04562627,19.36390693,-933,2572,3677,-3245.454853,-3445.597776,-11886.91989
10,0.517866135,0.053083897,18.83810465,19.31000954,-699,2216,3347,592.3994129,-4301.671554,-8603.343107
11,0.568850279,0.050984144,19.61394107,19.3372499,-450,1899,2902,2686.516107,-5295.944234,-7458.262076
12,0.622037649,0.05318737,18.80145595,19.29143681,-218,1734,2426,3749.030367,-5068.628034,-7383.644751
13,0.675732851,0.053695202,18.62363796,19.23837206,-130,1739,2053,3746.848557,-4600.128846,-7288.909845
14,0.728684425,0.052951574,18.88517977,19.21270651,-73,1720,1804,3263.47395,-3233.116053,-7107.542685
15,0.781258345,0.052573919,19.02083796,19.19979492,-32,1686,1691,2512.145657,-1996.157718,-6237.051286
16,0.832641602,0.051383257,19.46159236,19.21595074,-6,1643,1573,1686.578034,-972.441389,-5048.338304
17,0.884230137,0.051588535,19.38415181,19.22576408,-14,1594,1558,782.7440024,-537.1772565,-3330.49899
18,0.935051918,0.050821781,19.67660277,19.25026798,-5,1605,1501,484.5724426,-519.4616585,-2139.871907
19,0.989176273,0.054124355,18.47597064,19.20790107,0,1617,1512,280.8800586,-396.3102197,-1123.520234
20,1.042052031,0.052875757,18.91225871,19.1928996,-9,1664,1524,87.86572898,-84.04547989,-637.9815974
21,1.095029354,0.052977324,18.87600077,19.17756809,1,1716,1554,26.56556354,277.0408769,-72.10652962
22,1.14724946,0.052220106,19.14971214,19.17630015,45,1713,1661,222.4342446,448.6385611,388.31741
23,1.198818445,0.051568985,19.39150054,19.18555732,78,1715,1740,316.7301665,419.7628713,912.0302385
24,1.248333931,0.049515486,20.1957021,19.22562497,123,1740,1820,477.0171295,477.0171295,1194.481918
25,1.300005198,0.051671267,19.3531157,19.23069234,144,1763,1941,597.1435363,386.3869941,1627.508854
26,1.351658583,0.051653385,19.35981537,19.23562676,142,1815,2023,551.8344712,387.4582457,1835.534518
27,1.403852701,0.052194118,19.15924684,19.23278701,141,1860,2111,374.5715546,573.5626929,1755.804162
28,1.454797983,0.050945282,19.62890303,19.24665852,134,1892,2232,216.9869259,685.8336766,1906.385135
29,1.50808835,0.053290367,18.76511749,19.22964261,112,1971,2238,-42.2907856,888.1064975,1607.049853
30,1.559036732,0.050948381,19.62770891,19.24265118,108,2002,2335,-138.8767338,921.987205,1519.928698
