 ,time,force,units, ,x ,y ,z, 
b',437,-0.179,kg,\r\n'b',1025, 3911,1881,\r\n'
b',822,-0.177,kg,\r\n'b',1052, 3882,1845,\r\n'
b',1207,-0.177,kg,\r\n'b',1034, 3872,1941,\r\n'
b',1592,-0.178,kg,\r\n'b',1011, 3852,1916,\r\n'
b',1977,-0.178,kg,\r\n'b',1003, 3859,1866,\r\n'
b',2362,-0.179,kg,\r\n'b',995, 3864,1852,\r\n'
b',2747,-0.179,kg,\r\n'b',1030, 3902,1933,\r\n'
b',3132,-0.179,kg,\r\n'b',1023, 3882,1943,\r\n'
b',3517,-0.179,kg,\r\n'b',994, 3898,1915,\r\n'
b',3902,-0.179,kg,\r\n'b',990, 3848,1886,\r\n'
b',4287,-0.178,kg,\r\n'b',1001, 3885,1860,\r\n'
b',4672,-0.178,kg,\r\n'b',1011, 3897,1832,\r\n'
b',5057,-0.178,kg,\r\n'b',985, 3871,1874,\r\n'
b',5442,-0.179,kg,\r\n'b',1021, 3894,1904,\r\n'
b',5827,-0.178,kg,\r\n'b',982, 3859,1970,\r\n'
b',6212,-0.178,kg,\r\n'b',1013, 3880,1875,\r\n'
b',6597,-0.178,kg,\r\n'b',1022, 3868,1960,\r\n'
b',6982,-0.178,kg,\r\n'b',988, 3869,1878,\r\n'
b',7367,-0.178,kg,\r\n'b',1007, 3881,1888,\r\n'
b',7752,-0.179,kg,\r\n'b',963, 3879,1844,\r\n'
b',8137,-0.179,kg,\r\n'b',981, 3884,1919,\r\n'
b',8522,-0.178,kg,\r\n'b',1004, 3886,1920,\r\n'
b',8907,-0.178,kg,\r\n'b',782, 4094,1294,\r\n'
b',9292,-0.179,kg,\r\n'b',1014, 3879,1923,\r\n'
b',9677,-0.179,kg,\r\n'b',975, 3880,1957,\r\n'
b',10062,-0.178,kg,\r\n'b',995, 3861,1931,\r\n'
b',10447,-0.179,kg,\r\n'b',996, 3889,1877,\r\n'
b',10832,-0.179,kg,\r\n'b',1009, 3896,1954,\r\n'
b',11217,-0.179,kg,\r\n'b',1010, 3882,1903,\r\n'
b',11602,-0.179,kg,\r\n'b',979, 3863,1916,\r\n'
b',11987,-0.179,kg,\r\n'b',988, 3877,1866,\r\n'
b',12372,-0.179,kg,\r\n'b',1015, 3862,1932,\r\n'
b',12758,-0.179,kg,\r\n'b',988, 3870,1948,\r\n'
b',13143,-0.179,kg,\r\n'b',1006, 3868,1914,\r\n'
b',13528,-0.179,kg,\r\n'b',992, 3876,1963,\r\n'
b',13913,-0.180,kg,\r\n'b',1030, 3876,1965,\r\n'
b',14298,-0.180,kg,\r\n'b',993, 3870,1921,\r\n'
b',14683,-0.180,kg,\r\n'b',989, 3876,1930,\r\n'
b',15068,-0.180,kg,\r\n'b',1004, 3862,1901,\r\n'
b',15453,-0.180,kg,\r\n'b',991, 3890,1909,\r\n'
b',15838,-0.179,kg,\r\n'b',999, 3884,1898,\r\n'
b',16223,-0.179,kg,\r\n'b',1006, 3902,1924,\r\n'
b',16608,-0.179,kg,\r\n'b',992, 3884,1954,\r\n'
b',16993,-0.179,kg,\r\n'b',1004, 3867,1869,\r\n'
